Date,Open,High,Low,Close,Adj Close,Volume
2020-08-01,1.178001,1.196516,1.170138,1.191824,1.191824,0
2020-09-01,1.193916,1.201129,1.161346,1.174205,1.174205,0
2020-10-01,1.172374,1.188213,1.164307,1.167679,1.167679,0
2020-11-01,1.167900,1.200206,1.160766,1.197146,1.197146,0
2020-12-01,1.193773,1.230951,1.193599,1.229990,1.229990,0
2021-01-01,1.217285,1.235025,1.205545,1.213900,1.213900,0
2021-02-01,1.212283,1.224155,1.195357,1.207361,1.207361,0
2021-03-01,1.209090,1.211050,1.170453,1.172360,1.172360,0
2021-04-01,1.172897,1.215214,1.171481,1.212709,1.212709,0
2021-05-01,1.202099,1.226700,1.198725,1.219007,1.219007,0
2021-06-01,1.223406,1.225415,1.184582,1.190193,1.190193,0
2021-07-01,1.185536,1.189626,1.177260,1.181181,1.181181,0
2021-07-19,1.179941,1.182033,1.178411,1.178828,1.178828,0
